GROUP,SURVEY,SP,ID,obsID,altID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,AV,CAR_AV,SM_AV,TT,COST,HE,SEATS,CHOICE,chosen
2,0,1,1,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,112,48,120,0,2,0
2,0,1,1,2,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,103,48,30,0,2,0
2,0,1,1,3,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,130,48,60,0,2,0
2,0,1,1,4,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,103,40,30,0,2,0
2,0,1,1,5,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,130,36,60,0,2,0
2,0,1,1,6,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,112,36,120,0,2,0
2,0,1,1,7,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,103,48,120,0,2,0
2,0,1,1,8,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,103,36,30,0,1,1
2,0,1,1,9,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,130,40,60,0,2,0
2,0,1,2,10,1,1,0,1,1,1,2,0,1,0,22,1,1,0,1,184,62,120,0,2,0
2,0,1,2,11,1,1,0,1,1,1,2,0,1,0,22,1,1,0,1,170,62,30,0,2,0
2,0,1,2,12,1,1,0,1,1,1,2,0,1,0,22,1,1,0,1,213,62,60,0,2,0
2,0,1,2,13,1,1,0,1,1,1,2,0,1,0,22,1,1,0,1,170,52,30,0,2,0
2,0,1,2,14,1,1,0,1,1,1,2,0,1,0,22,1,1,0,1,213,47,60,0,2,0
2,0,1,2,15,1,1,0,1,1,1,2,0,1,0,22,1,1,0,1,184,47,120,0,2,0
2,0,1,2,16,1,1,0,1,1,1,2,0,1,0,22,1,1,0,1,170,62,120,0,2,0
2,0,1,2,17,1,1,0,1,1,1,2,0,1,0,22,1,1,0,1,170,47,30,0,2,0
2,0,1,2,18,1,1,0,1,1,1,2,0,1,0,22,1,1,0,1,213,52,60,0,2,0
2,0,1,3,19,1,1,0,1,1,1,2,1,2,0,10,25,1,1,1,58,32,30,0,2,0
2,0,1,3,20,1,1,0,1,1,1,2,1,2,0,10,25,1,1,1,58,29,30,0,2,0
2,0,1,3,21,1,1,0,1,1,1,2,1,2,0,10,25,1,1,1,58,32,120,0,2,0
2,0,1,3,22,1,1,0,1,1,1,2,1,2,0,10,25,1,1,1,47,29,60,0,2,0
2,0,1,3,23,1,1,0,1,1,1,2,1,2,0,10,25,1,1,1,51,32,30,0,2,0
2,0,1,3,24,1,1,0,1,1,1,2,1,2,0,10,25,1,1,1,51,38,60,0,2,0
2,0,1,3,25,1,1,0,1,1,1,2,1,2,0,10,25,1,1,1,51,29,30,0,2,0
2,0,1,3,26,1,1,0,1,1,1,2,1,2,0,10,25,1,1,1,51,32,60,0,2,0
2,0,1,3,27,1,1,0,1,1,1,2,1,2,0,10,25,1,1,1,58,38,30,0,2,0
2,0,1,4,28,1,1,0,1,1,1,2,1,3,0,19,2,1,1,1,138,40,30,0,2,0
2,0,1,4,29,1,1,0,1,1,1,2,1,3,0,19,2,1,1,1,138,40,120,0,2,0
2,0,1,4,30,1,1,0,1,1,1,2,1,3,0,19,2,1,1,1,138,36,30,0,2,0
2,0,1,4,31,1,1,0,1,1,1,2,1,3,0,19,2,1,1,1,105,36,60,0,2,0
2,0,1,4,32,1,1,0,1,1,1,2,1,3,0,19,2,1,1,1,116,40,30,0,2,0
2,0,1,4,33,1,1,0,1,1,1,2,1,3,0,19,2,1,1,1,116,36,30,0,2,0
2,0,1,4,34,1,1,0,1,1,1,2,1,3,0,19,2,1,1,1,116,48,60,0,2,0
2,0,1,4,35,1,1,0,1,1,1,2,1,3,0,19,2,1,1,1,138,48,30,0,2,0
2,0,1,4,36,1,1,0,1,1,1,2,1,3,0,19,2,1,1,1,116,40,60,0,2,0
2,0,1,5,37,1,1,0,1,1,1,2,1,3,0,21,17,1,0,1,269,70,120,0,2,0
2,0,1,5,38,1,1,0,1,1,1,2,1,3,0,21,17,1,0,1,243,70,30,0,2,0
2,0,1,5,39,1,1,0,1,1,1,2,1,3,0,21,17,1,0,1,320,70,60,0,2,0
2,0,1,5,40,1,1,0,1,1,1,2,1,3,0,21,17,1,0,1,243,58,30,0,2,0
2,0,1,5,41,1,1,0,1,1,1,2,1,3,0,21,17,1,0,1,320,52,60,0,2,0
2,0,1,5,42,1,1,0,1,1,1,2,1,3,0,21,17,1,0,1,269,52,120,0,2,0
2,0,1,5,43,1,1,0,1,1,1,2,1,3,0,21,17,1,0,1,243,70,120,0,2,0
2,0,1,5,44,1,1,0,1,1,1,2,1,3,0,21,17,1,0,1,243,52,30,0,2,0
2,0,1,5,45,1,1,0,1,1,1,2,1,3,0,21,17,1,0,1,320,58,60,0,2,0
2,0,1,6,46,1,1,0,1,1,1,3,0,3,0,9,17,1,1,1,116,35,120,0,2,0
2,0,1,6,47,1,1,0,1,1,1,3,0,3,0,9,17,1,1,1,95,26,120,0,2,0
2,0,1,6,48,1,1,0,1,1,1,3,0,3,0,9,17,1,1,1,116,26,120,0,2,0
2,0,1,6,49,1,1,0,1,1,1,3,0,3,0,9,17,1,1,1,102,26,60,0,2,0
2,0,1,6,50,1,1,0,1,1,1,3,0,3,0,9,17,1,1,1,102,29,120,0,2,0
2,0,1,6,51,1,1,0,1,1,1,3,0,3,0,9,17,1,1,1,95,29,60,0,2,0
2,0,1,6,52,1,1,0,1,1,1,3,0,3,0,9,17,1,1,1,95,35,60,0,2,0
2,0,1,6,53,1,1,0,1,1,1,3,0,3,0,9,17,1,1,1,95,29,120,0,2,0
2,0,1,6,54,1,1,0,1,1,1,3,0,3,0,9,17,1,1,1,102,35,30,0,2,0
2,0,1,7,55,1,1,0,1,1,1,3,1,1,0,1,2,1,1,1,87,42,120,0,2,0
2,0,1,7,56,1,1,0,1,1,1,3,1,1,0,1,2,1,1,1,80,42,30,0,2,0
2,0,1,7,57,1,1,0,1,1,1,3,1,1,0,1,2,1,1,1,101,42,60,0,2,0
2,0,1,7,58,1,1,0,1,1,1,3,1,1,0,1,2,1,1,1,80,35,30,0,2,0
2,0,1,7,59,1,1,0,1,1,1,3,1,1,0,1,2,1,1,1,101,31,60,0,2,0
2,0,1,7,60,1,1,0,1,1,1,3,1,1,0,1,2,1,1,1,87,31,120,0,2,0
2,0,1,7,61,1,1,0,1,1,1,3,1,1,0,1,2,1,1,1,80,42,120,0,1,1
2,0,1,7,62,1,1,0,1,1,1,3,1,1,0,1,2,1,1,1,80,31,30,0,2,0
2,0,1,7,63,1,1,0,1,1,1,3,1,1,0,1,2,1,1,1,101,35,60,0,2,0
2,0,1,8,64,1,1,0,1,1,1,4,1,3,0,1,17,1,1,1,109,26,120,0,2,0
2,0,1,8,65,1,1,0,1,1,1,4,1,3,0,1,17,1,1,1,100,26,30,0,2,0
2,0,1,8,66,1,1,0,1,1,1,4,1,3,0,1,17,1,1,1,126,26,60,0,2,0
2,0,1,8,67,1,1,0,1,1,1,4,1,3,0,1,17,1,1,1,100,22,30,0,3,0
2,0,1,8,68,1,1,0,1,1,1,4,1,3,0,1,17,1,1,1,126,20,60,0,2,0
2,0,1,8,69,1,1,0,1,1,1,4,1,3,0,1,17,1,1,1,109,20,120,0,3,0
2,0,1,8,70,1,1,0,1,1,1,4,1,3,0,1,17,1,1,1,100,26,120,0,3,0
2,0,1,8,71,1,1,0,1,1,1,4,1,3,0,1,17,1,1,1,100,20,30,0,2,0
2,0,1,8,72,1,1,0,1,1,1,4,1,3,0,1,17,1,1,1,126,22,60,0,2,0
2,0,1,9,73,1,1,0,1,1,1,2,1,2,0,17,1,1,1,1,116,24,30,0,2,0
2,0,1,9,74,1,1,0,1,1,1,2,1,2,0,17,1,1,1,1,116,22,30,0,2,0
2,0,1,9,75,1,1,0,1,1,1,2,1,2,0,17,1,1,1,1,116,24,120,0,2,0
2,0,1,9,76,1,1,0,1,1,1,2,1,2,0,17,1,1,1,1,95,22,60,0,2,0
2,0,1,9,77,1,1,0,1,1,1,2,1,2,0,17,1,1,1,1,102,24,30,0,2,0
2,0,1,9,78,1,1,0,1,1,1,2,1,2,0,17,1,1,1,1,102,29,60,0,2,0
2,0,1,9,79,1,1,0,1,1,1,2,1,2,0,17,1,1,1,1,102,22,30,0,2,0
2,0,1,9,80,1,1,0,1,1,1,2,1,2,0,17,1,1,1,1,102,24,60,0,2,0
2,0,1,9,81,1,1,0,1,1,1,2,1,2,0,17,1,1,1,1,116,29,30,0,2,0
2,0,1,10,82,1,1,0,1,2,1,2,0,1,0,2,1,1,0,1,131,42,120,0,2,0
2,0,1,10,83,1,1,0,1,2,1,2,0,1,0,2,1,1,0,1,110,31,120,0,1,1
2,0,1,10,84,1,1,0,1,2,1,2,0,1,0,2,1,1,0,1,131,31,120,0,2,0
2,0,1,10,85,1,1,0,1,2,1,2,0,1,0,2,1,1,0,1,117,31,60,0,2,0
2,0,1,10,86,1,1,0,1,2,1,2,0,1,0,2,1,1,0,1,117,35,120,0,2,0
2,0,1,10,87,1,1,0,1,2,1,2,0,1,0,2,1,1,0,1,110,35,60,0,2,0
2,0,1,10,88,1,1,0,1,2,1,2,0,1,0,2,1,1,0,1,110,42,60,0,2,0
2,0,1,10,89,1,1,0,1,2,1,2,0,1,0,2,1,1,0,1,110,35,120,0,2,0
2,0,1,10,90,1,1,0,1,2,1,2,0,1,0,2,1,1,0,1,117,42,30,0,1,1
2,0,1,11,91,1,1,0,1,2,1,2,1,2,0,17,19,1,0,1,116,32,30,0,2,0
