CS,ALT,ID,PURPOSE,AV,TT,COST,SM_TT,SM_CO,CAR_TT,CAR_CO,CHOICE_OLD,CHOICE
1,1,1,1,1,112,48,63,52,117,65,2,0
1,2,1,1,1,63,52,63,52,117,65,2,1
1,3,1,1,1,117,65,63,52,117,65,2,0
2,1,1,1,1,103,48,60,49,117,84,2,0
2,2,1,1,1,60,49,60,49,117,84,2,1
2,3,1,1,1,117,84,60,49,117,84,2,0
3,1,1,1,1,130,48,67,58,117,52,2,0
3,2,1,1,1,67,58,67,58,117,52,2,1
3,3,1,1,1,117,52,67,58,117,52,2,0
4,1,1,1,1,103,40,63,52,72,52,2,0
4,2,1,1,1,63,52,63,52,72,52,2,1
4,3,1,1,1,72,52,63,52,72,52,2,0
5,1,1,1,1,130,36,63,42,90,84,2,0
5,2,1,1,1,63,42,63,42,90,84,2,1
5,3,1,1,1,90,84,63,42,90,84,2,0
6,1,1,1,1,112,36,60,49,90,52,2,0
6,2,1,1,1,60,49,60,49,90,52,2,1
6,3,1,1,1,90,52,60,49,90,52,2,0
7,1,1,1,1,103,48,67,58,72,65,2,0
7,2,1,1,1,67,58,67,58,72,65,2,1
7,3,1,1,1,72,65,67,58,72,65,2,0
8,1,1,1,1,103,36,67,43,90,65,1,1
8,2,1,1,1,67,43,67,43,90,65,1,0
8,3,1,1,1,90,65,67,43,90,65,1,0
9,1,1,1,1,130,40,60,46,72,65,2,0
9,2,1,1,1,60,46,60,46,72,65,2,1
9,3,1,1,1,72,65,60,46,72,65,2,0
10,1,2,1,1,184,62,76,70,0,0,2,0
10,2,2,1,1,76,70,76,70,0,0,2,1
10,3,2,1,0,0,0,76,70,0,0,2,0
11,1,2,1,1,170,62,70,66,0,0,2,0
11,2,2,1,1,70,66,70,66,0,0,2,1
11,3,2,1,0,0,0,70,66,0,0,2,0
12,1,2,1,1,213,62,84,82,0,0,2,0
12,2,2,1,1,84,82,84,82,0,0,2,1
12,3,2,1,0,0,0,84,82,0,0,2,0
13,1,2,1,1,170,52,76,72,0,0,2,0
13,2,2,1,1,76,72,76,72,0,0,2,1
13,3,2,1,0,0,0,76,72,0,0,2,0
14,1,2,1,1,213,47,76,53,0,0,2,0
14,2,2,1,1,76,53,76,53,0,0,2,1
14,3,2,1,0,0,0,76,53,0,0,2,0
15,1,2,1,1,184,47,70,66,0,0,2,0
15,2,2,1,1,70,66,70,66,0,0,2,1
15,3,2,1,0,0,0,70,66,0,0,2,0
16,1,2,1,1,170,62,84,82,0,0,2,0
16,2,2,1,1,84,82,84,82,0,0,2,1
16,3,2,1,0,0,0,84,82,0,0,2,0
17,1,2,1,1,170,47,84,57,0,0,2,0
17,2,2,1,1,84,57,84,57,0,0,2,1
17,3,2,1,0,0,0,84,57,0,0,2,0
18,1,2,1,1,213,52,70,62,0,0,2,0
18,2,2,1,1,70,62,70,62,0,0,2,1
18,3,2,1,0,0,0,70,62,0,0,2,0
19,1,3,1,1,58,32,29,35,105,40,2,0
19,2,3,1,1,29,35,29,35,105,40,2,1
19,3,3,1,1,105,40,29,35,105,40,2,0
20,1,3,1,1,58,29,25,38,136,50,2,0
20,2,3,1,1,25,38,25,38,136,50,2,1
20,3,3,1,1,136,50,25,38,136,50,2,0
21,1,3,1,1,58,32,27,40,136,65,2,0
21,2,3,1,1,27,40,27,40,136,65,2,1
21,3,3,1,1,136,65,27,40,136,65,2,0
22,1,3,1,1,47,29,25,38,84,65,2,0
22,2,3,1,1,25,38,25,38,84,65,2,1
22,3,3,1,1,84,65,25,38,84,65,2,0
23,1,3,1,1,51,32,25,36,136,40,2,0
23,2,3,1,1,25,36,25,36,136,40,2,1
23,3,3,1,1,136,40,25,36,136,40,2,0
24,1,3,1,1,51,38,25,42,84,40,2,0
24,2,3,1,1,25,42,25,42,84,40,2,1
24,3,3,1,1,84,40,25,42,84,40,2,0
