X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96
1,1,10.13333333,4,1,3,2,0,3,3,0,0,0,30,1,7,1,1,1,1,1,50,0,-1,0,3,0,0,1,1,0,1,49000,4,89000,4,2000,3000,4000,8000,10000,50,12,35,10,11,11,9,28,4,2,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
2,1,40.28333334,2,7,3,1,0,2,2,1,1,0,27,1,4,1,1,1,1,1,10,0,-1,0,3,0,0,1,0,0,1,50000,3,77000,4,1500,5000,5000,2000,0,170,252,20,33,78,69,115,182,2,3,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
3,1,7.133333335,1,1,2,1,0,2,2,0,0,0,37,1,6,1,1,1,1,1,90,0,-1,0,1,0,0,0,0,0,1,44000,2,84000,2,0,0,0,0,0,23,10,8,8,8,8,7,8,1,5,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
4,1,11.7,4,3,1,1,0,1,1,0,0,0,39,1,4,1,1,1,1,1,25,0,-1,0,1,0,0,0,0,0,1,24000,4,64000,4,1000,1500,2000,4000,8000,80,35,16,17,15,11,14,12,1,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
5,1,12.65,1,1,3,2,1,2,2,0,1,0,29,1,6,1,1,1,1,1,6,0,-1,0,1,0,0,1,1,0,1,53000,4,100000,4,3000,2000,2000,1000,1000,5,4,4,59,3,19,14,3,2,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
6,1,20.46666666,3,1,4,3,4,4,2,0,0,0,37,2,6,1,1,1,1,1,7,0,-1,0,1,0,0,0,0,0,1,20000,4,124000,3,1000,2000,3000,0,0,117,58,40,56,164,71,33,31,1,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
7,1,20.04999999,1,1,2,1,2,1,0,0,0,1,62,1,6,1,1,1,3,0,-1,1,25,5,0,1,0,0,0,0,1,45000,5,45000,4,1000,1500,5000,6000,10000,138,23,30,18,33,16,15,9,2,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
8,1,11.81666666,5,1,1,1,1,1,1,0,0,0,35,1,6,1,1,1,1,1,30,0,-1,0,1,0,0,1,0,0,1,22000,3,52000,4,22000,25000,25000,28000,30000,78,9,8,11,11,10,13,12,4,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
9,1,6.383333327,1,1,4,1,0,1,1,1,2,0,21,1,5,1,0,0,2,1,13,0,-1,0,1,0,0,1,0,0,1,36000,2,68000,4,1300,9000,9000,11000,10000,21,18,16,9,10,8,12,17,1,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
10,1,8.833333324,1,1,4,2,4,2,2,0,0,0,21,1,4,1,1,1,1,1,20,0,-1,0,1,0,0,1,0,0,1,45000,5,75000,4,0,0,0,10000,15000,28,18,18,9,11,8,8,10,2,2,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
11,1,27.43333333,1,1,4,1,3,4,3,1,0,0,26,2,5,1,1,1,2,1,12.2,0,-1,0,3,0,0,1,0,0,1,30000,1,211000,3,30000,30000,30000,30000,30000,141,20,15,8,14,9,13,10,2,3,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
12,1,9.483333329,2,3,1,0,1,1,0,0,0,1,59,1,2,1,0,0,3,0,-1,0,-1,0,0,0,1,0,0,0,0,29000,1,29000,3,0,0,0,0,0,34,49,47,22,18,15,21,9,1,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
13,1,11.33333334,2,2,2,0,0,1,2,0,0,0,63,2,6,1,0,0,1,1,15,0,-1,0,3,0,0,1,0,0,1,25000,4,52000,5,500,1000,1500,2000,3500,58,60,42,19,27,16,14,28,2,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
14,1,8.750000002,1,2,2,0,0,1,1,1,0,0,34,2,6,0,0,0,2,0,-1,0,-1,0,0,0,0,0,0,0,1,30000,1,44000,3,0,0,0,0,0,43,45,31,10,21,27,26,6,1,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
15,1,8.933333337,1,2,4,1,2,2,1,0,2,0,54,2,6,1,1,1,6,0,-1,1,15,2,0,1,0,0,0,0,1,47000,2,115000,2,500,1000,1000,0,0,55,13,9,44,9,14,11,6,1,3,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
16,1,10.31666667,1,7,3,1,1,2,2,0,1,0,51,2,3,1,1,1,1,1,30,0,-1,0,1,0,0,1,0,0,1,25000,1,139000,3,0,0,6000,0,0,38,14,14,8,23,23,17,13,2,3,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
17,1,19.31666667,5,7,4,2,2,3,2,0,1,0,52,1,6,1,1,2,1,1,15,0,-1,0,1,0,0,0,0,0,1,32000,3,144000,5,100,100,200,500,1000,52,124,22,15,10,9,20,18,1,4,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
18,1,6.200000003,1,1,4,2,0,3,2,1,2,0,34,1,7,1,0,0,1,1,18,0,-1,0,1,0,0,0,0,0,1,49000,5,68000,5,1500,500,500,1500,2000,32,14,11,8,6,13,6,5,2,5,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
19,1,7.900000003,1,7,3,1,0,2,1,1,1,0,57,1,6,1,1,1,4,0,-1,1,20,2,0,1,0,0,0,0,1,41000,1,56000,4,200,1000,1000,1000,1000,20,17,11,10,9,9,10,7,1,5,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
20,1,10.78333333,3,3,2,2,3,2,2,0,0,0,58,1,7,1,1,1,1,1,35,0,-1,0,4,0,0,1,0,0,1,32000,1,181000,1,0,0,0,0,0,17,12,34,40,32,63,55,26,1,5,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
21,1,12.86666667,1,1,2,1,0,1,2,0,0,0,31,1,2,1,1,1,1,1,15,0,-1,0,3,0,0,1,0,0,0,43000,4,39000,1,0,0,0,0,0,41,32,19,30,29,19,19,14,1,2,0,3,3,3,5,0,8000,-1,1000,-1,-1,-1,15,-1,25,40,40,-1,30,-1,-1,-1,150,-1,0,450,450,-1,230,-1,-1,-1,10,-1,5,1,1,4400,1,1350,1,1,2,2,2
